LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
8m20s       Normal    Scheduled                      pod/hpa-load-20260903-015017-3          Successfully assigned hangyin/hpa-load-20260903-015017-3 to desktop-control-plane
29m         Normal    Scheduled                      pod/live-mysql-77955567f6-6h62r         Successfully assigned hangyin/live-mysql-77955567f6-6h62r to desktop-control-plane
3m43s       Normal    Scheduled                      pod/hpa-load-20260903-015453-8          Successfully assigned hangyin/hpa-load-20260903-015453-8 to desktop-control-plane
22m         Normal    Scheduled                      pod/live-mysql-bdfd86b7b-54wzw          Successfully assigned hangyin/live-mysql-bdfd86b7b-54wzw to desktop-control-plane
22m         Normal    Scheduled                      pod/live-service-784cd54867-k2fdr       Successfully assigned hangyin/live-service-784cd54867-k2fdr to desktop-control-plane
29m         Normal    Scheduled                      pod/live-service-7d5bd6ff4-qrvhw        Successfully assigned hangyin/live-service-7d5bd6ff4-qrvhw to desktop-control-plane
3m43s       Normal    Scheduled                      pod/hpa-load-20260903-015453-7          Successfully assigned hangyin/hpa-load-20260903-015453-7 to desktop-control-plane
3m43s       Normal    Scheduled                      pod/hpa-load-20260903-015453-6          Successfully assigned hangyin/hpa-load-20260903-015453-6 to desktop-control-plane
29m         Normal    Scheduled                      pod/live-service-848cd5bc58-pb76k       Successfully assigned hangyin/live-service-848cd5bc58-pb76k to desktop-control-plane
21m         Normal    Scheduled                      pod/live-service-f7b4cc867-zfj69        Successfully assigned hangyin/live-service-f7b4cc867-zfj69 to desktop-control-plane
25m         Normal    Scheduled                      pod/frontend-69c5bb6dfc-2zswn           Successfully assigned hangyin/frontend-69c5bb6dfc-2zswn to desktop-control-plane
3m44s       Normal    Scheduled                      pod/hpa-load-20260903-015453-5          Successfully assigned hangyin/hpa-load-20260903-015453-5 to desktop-control-plane
3m44s       Normal    Scheduled                      pod/hpa-load-20260903-015453-4          Successfully assigned hangyin/hpa-load-20260903-015453-4 to desktop-control-plane
29m         Normal    Scheduled                      pod/minio-9ddd6b565-hpscz               Successfully assigned hangyin/minio-9ddd6b565-hpscz to desktop-control-plane
29m         Normal    Scheduled                      pod/frontend-69c5bb6dfc-zk6sm           Successfully assigned hangyin/frontend-69c5bb6dfc-zk6sm to desktop-control-plane
3m43s       Normal    Scheduled                      pod/hpa-load-20260903-015453-9          Successfully assigned hangyin/hpa-load-20260903-015453-9 to desktop-control-plane
3m44s       Normal    Scheduled                      pod/hpa-load-20260903-015453-3          Successfully assigned hangyin/hpa-load-20260903-015453-3 to desktop-control-plane
3m44s       Normal    Scheduled                      pod/hpa-load-20260903-015453-2          Successfully assigned hangyin/hpa-load-20260903-015453-2 to desktop-control-plane
3m43s       Normal    Scheduled                      pod/hpa-load-20260903-015453-10         Successfully assigned hangyin/hpa-load-20260903-015453-10 to desktop-control-plane
29m         Normal    Scheduled                      pod/mysql-6c4c55d7d4-wmhvd              Successfully assigned hangyin/mysql-6c4c55d7d4-wmhvd to desktop-control-plane
86s         Normal    Scheduled                      pod/video-service-7c84f598bd-lp5dl      Successfully assigned hangyin/video-service-7c84f598bd-lp5dl to desktop-control-plane
3m44s       Normal    Scheduled                      pod/hpa-load-20260903-015453-1          Successfully assigned hangyin/hpa-load-20260903-015453-1 to desktop-control-plane
2m26s       Normal    Scheduled                      pod/video-service-7c84f598bd-7qmrs      Successfully assigned hangyin/video-service-7c84f598bd-7qmrs to desktop-control-plane
8m20s       Normal    Scheduled                      pod/hpa-load-20260903-015017-9          Successfully assigned hangyin/hpa-load-20260903-015017-9 to desktop-control-plane
22m         Normal    Scheduled                      pod/user-mysql-c57bcb9d7-x8x54          Successfully assigned hangyin/user-mysql-c57bcb9d7-x8x54 to desktop-control-plane
8m20s       Normal    Scheduled                      pod/hpa-load-20260903-015017-8          Successfully assigned hangyin/hpa-load-20260903-015017-8 to desktop-control-plane
22m         Normal    Scheduled                      pod/user-service-5f97b7d5fd-xbplm       Successfully assigned hangyin/user-service-5f97b7d5fd-xbplm to desktop-control-plane
9m53s       Normal    Scheduled                      pod/hpa-load-20260903-014844            Successfully assigned hangyin/hpa-load-20260903-014844 to desktop-control-plane
29m         Normal    Scheduled                      pod/user-service-7b9964f67b-dwszf       Successfully assigned hangyin/user-service-7b9964f67b-dwszf to desktop-control-plane
8m20s       Normal    Scheduled                      pod/hpa-load-20260903-015017-7          Successfully assigned hangyin/hpa-load-20260903-015017-7 to desktop-control-plane
29m         Normal    Scheduled                      pod/api-gateway-7877b88bc4-mfqk4        Successfully assigned hangyin/api-gateway-7877b88bc4-mfqk4 to desktop-control-plane
8m20s       Normal    Scheduled                      pod/hpa-load-20260903-015017-6          Successfully assigned hangyin/hpa-load-20260903-015017-6 to desktop-control-plane
25m         Normal    Scheduled                      pod/user-service-7b9964f67b-pl4rn       Successfully assigned hangyin/user-service-7b9964f67b-pl4rn to desktop-control-plane
8m21s       Normal    Scheduled                      pod/hpa-load-20260903-015017-1          Successfully assigned hangyin/hpa-load-20260903-015017-1 to desktop-control-plane
29m         Normal    Scheduled                      pod/video-service-7c84f598bd-6cm7z      Successfully assigned hangyin/video-service-7c84f598bd-6cm7z to desktop-control-plane
8m20s       Normal    Scheduled                      pod/hpa-load-20260903-015017-5          Successfully assigned hangyin/hpa-load-20260903-015017-5 to desktop-control-plane
25m         Normal    Scheduled                      pod/video-mysql-7c56cd74c8-bqhsq        Successfully assigned hangyin/video-mysql-7c56cd74c8-bqhsq to desktop-control-plane
8m19s       Normal    Scheduled                      pod/hpa-load-20260903-015017-10         Successfully assigned hangyin/hpa-load-20260903-015017-10 to desktop-control-plane
29m         Normal    Scheduled                      pod/video-mysql-85b8875554-g2xrz        Successfully assigned hangyin/video-mysql-85b8875554-g2xrz to desktop-control-plane
8m20s       Normal    Scheduled                      pod/hpa-load-20260903-015017-2          Successfully assigned hangyin/hpa-load-20260903-015017-2 to desktop-control-plane
29m         Normal    Scheduled                      pod/video-service-579d57d976-bt46z      Successfully assigned hangyin/video-service-579d57d976-bt46z to desktop-control-plane
8m20s       Normal    Scheduled                      pod/hpa-load-20260903-015017-4          Successfully assigned hangyin/hpa-load-20260903-015017-4 to desktop-control-plane
29m         Normal    Created                        pod/minio-9ddd6b565-hpscz               Created container: minio
29m         Normal    SuccessfulCreate               replicaset/user-service-7b9964f67b      Created pod: user-service-7b9964f67b-dwszf
29m         Normal    ScalingReplicaSet              deployment/mysql                        Scaled up replica set mysql-6c4c55d7d4 from 0 to 1
29m         Normal    SuccessfulCreate               replicaset/mysql-6c4c55d7d4             Created pod: mysql-6c4c55d7d4-wmhvd
29m         Normal    ScalingReplicaSet              deployment/api-gateway                  Scaled up replica set api-gateway-7877b88bc4 from 0 to 1
29m         Normal    SuccessfulCreate               replicaset/api-gateway-7877b88bc4       Created pod: api-gateway-7877b88bc4-mfqk4
29m         Normal    SuccessfulCreate               replicaset/minio-9ddd6b565              Created pod: minio-9ddd6b565-hpscz
29m         Normal    ScalingReplicaSet              deployment/minio                        Scaled up replica set minio-9ddd6b565 from 0 to 1
29m         Normal    Pulled                         pod/minio-9ddd6b565-hpscz               Container image "minio/minio:latest" already present on machine
29m         Normal    Started                        pod/mysql-6c4c55d7d4-wmhvd              Started container mysql
29m         Normal    ScalingReplicaSet              deployment/user-service                 Scaled up replica set user-service-7b9964f67b from 0 to 1
29m         Normal    Created                        pod/mysql-6c4c55d7d4-wmhvd              Created container: mysql
29m         Normal    Pulled                         pod/mysql-6c4c55d7d4-wmhvd              Container image "mysql:8.4" already present on machine
29m         Normal    ScalingReplicaSet              deployment/video-service                Scaled up replica set video-service-579d57d976 from 0 to 1
29m         Normal    SuccessfulCreate               replicaset/video-mysql-85b8875554       Created pod: video-mysql-85b8875554-g2xrz
29m         Normal    Started                        pod/minio-9ddd6b565-hpscz               Started container minio
29m         Normal    SuccessfulCreate               replicaset/video-service-579d57d976     Created pod: video-service-579d57d976-bt46z
29m         Normal    ScalingReplicaSet              deployment/video-mysql                  Scaled up replica set video-mysql-85b8875554 from 0 to 1
29m         Normal    Pulled                         pod/api-gateway-7877b88bc4-mfqk4        Successfully pulled image "nginx:1.27-alpine" in 135ms (135ms including waiting). Image size: 20984244 bytes.
29m         Warning   Unhealthy                      pod/minio-9ddd6b565-hpscz               Readiness probe failed: Get "http://10.244.0.11:9000/minio/health/ready": dial tcp 10.244.0.11:9000: connect: connection refused
29m         Normal    Pulling                        pod/api-gateway-7877b88bc4-mfqk4        Pulling image "nginx:1.27-alpine"
29m         Normal    ScalingReplicaSet              deployment/frontend                     Scaled up replica set frontend-69c5bb6dfc from 0 to 1
29m         Normal    SuccessfulCreate               replicaset/live-service-7d5bd6ff4       Created pod: live-service-7d5bd6ff4-qrvhw
29m         Normal    ScalingReplicaSet              deployment/live-service                 Scaled up replica set live-service-7d5bd6ff4 from 0 to 1
29m         Normal    ScalingReplicaSet              deployment/live-service                 Scaled up replica set live-service-848cd5bc58 from 0 to 1
29m         Warning   Unhealthy                      pod/minio-76c6fcc754-x6qcp              Readiness probe failed: Get "http://10.244.0.6:9000/minio/health/ready": dial tcp 10.244.0.6:9000: connect: connection refused
